variable,plev_index,category,n_models,median,iqr,min,max,max_over_median,cov
huss,,2D state,20,0.005958703745940125,0.0006863088069708704,0.005013167390829,0.007627456657257034,1.2800530085849442,0.11045211962007254
pr,,2D state,19,6.265062933702076e-05,4.785826850503826e-06,5.5622073927765673e-05,6.992708279726841e-05,1.116143341850645,0.06415930940891566
psl,,2D state,20,1136.7971508070214,112.20472438351476,667.8450326698976,1268.4550436304146,1.1158147631966955,0.11297350266074091
tas,,2D state,20,15.300022848842035,0.2960343315047371,7.434721246362496,15.971164887096084,1.0438654271882244,0.12044521616638482
hus,0.0,3D state,19,0.0056900531407318,0.0005361047213066506,0.00497263323179255,0.0061712336634959,1.084565207189298,0.06074723990304072
hus,1.0,3D state,19,0.0041105425978043,0.00022456377489190119,0.003532961246056,0.004385966890222834,1.0670043639897213,0.059958963745149425
hus,2.0,3D state,19,0.002692829448952,0.00024632943494461244,0.0023159357538686,0.0029778594339769002,1.1058477673496288,0.07416542236775285
hus,3.0,3D state,19,0.00126992966724065,0.00021068616383266257,0.000992013693563,0.0014947661176096,1.177046379944397,0.12167975982404701
hus,4.0,3D state,19,8.789350726686143e-05,2.2688707225039284e-05,4.700434387535831e-05,0.00011553581263025,1.314497694118193,0.2352995077077571
hus,5.0,3D state,19,5.89586988549624e-07,1.6040211337493672e-07,2.0395471955970898e-07,1.4560519847456385e-06,2.4696134972847803,0.449182444767747
hus,6.0,3D state,19,3.143739384964796e-07,5.210417393356731e-08,1.9025968465350506e-07,7.899447556527133e-07,2.5127552221112603,0.361464746314462
hus,7.0,3D state,19,2.876932360556907e-07,1.4230896472632293e-07,8.195183671802422e-08,6.638995016017863e-07,2.307664617715485,0.49796727485277925
ua,0.0,3D state,19,7.144821637984716,0.5084516958967349,6.523986847034467,8.183494319096216,1.1453741931904222,0.06781705318925649
ua,1.0,3D state,19,8.056797465044188,0.42864478485696633,7.260415867940761,8.632546296747492,1.0714612517195934,0.05022168178217043
ua,2.0,3D state,19,8.866856534291259,0.41155325591905445,8.32753132719509,9.388422114993473,1.058821926201821,0.03360929648304102
ua,3.0,3D state,19,11.480941678907277,0.40079565757011437,10.731698783130424,12.350760213508282,1.075761950450374,0.034829896485678184
ua,4.0,3D state,19,18.00544435247639,0.6291019042485715,15.969428859856787,19.134167744943383,1.0626878943041334,0.042381338478760675
ua,5.0,3D state,19,15.430252152702067,0.5912132391544489,11.69932332333158,16.935357610794274,1.0975425056698531,0.09228080784597573
ua,6.0,3D state,19,16.415898575922977,1.5969469511707786,11.99795965525283,17.812235048434417,1.085060008506597,0.09473873033898104
ua,7.0,3D state,19,24.764383846071883,2.8612313868213164,21.849792199326068,30.243144469696176,1.2212354911666148,0.09485457632259431
va,0.0,3D state,19,5.381801128051612,0.2068670440388809,4.747871057037517,5.6822779355864315,1.0558320161569408,0.043013718199634135
va,1.0,3D state,19,5.215299413454022,0.2882003168653702,4.614848933246867,5.762854751823997,1.1049902018966418,0.04948116772304064
va,2.0,3D state,19,5.5449058674560705,0.3887762258965015,5.064990660358182,6.317319183561698,1.1393014299194948,0.05416179596517969
va,3.0,3D state,19,7.287348624522442,0.6190557477187326,6.668911950693092,8.255419010843841,1.1328426065776205,0.05511727834875449
va,4.0,3D state,19,11.61880328344203,0.9095914784102028,9.029361394674382,12.774378852195442,1.0994573658373425,0.08236004664133516
va,5.0,3D state,19,6.947320411818846,0.6366925625938604,6.223181173684843,7.42202798029689,1.0683295918913525,0.057128615585334254
va,6.0,3D state,19,5.501779494277796,0.5143779402236337,4.599795751494577,5.779301423050665,1.050442212208161,0.06326367705241662
va,7.0,3D state,19,8.023546700310057,0.9870952199818639,7.174458282836148,9.323228418275434,1.1619834427978282,0.08057905557552937
zg,0.0,3D state,19,921.1452733154819,70.74329033231163,910.3160635423143,1048.535467863018,1.1382954439846606,0.05028755181940665
zg,1.0,3D state,19,554.8381688313343,74.1835901316457,535.6930472493485,662.3865983842768,1.1938374747711997,0.0783924222400937
zg,2.0,3D state,19,342.59147056646356,35.544150450421625,321.27176466925647,391.44172992193035,1.1425904132251001,0.06771225774190887
zg,3.0,3D state,19,279.8667946704855,27.347522258823574,257.95935978047714,299.6542790421009,1.0707032229204365,0.05310324438777228
zg,4.0,3D state,19,481.94987364138444,34.11221404302347,439.7108231965252,520.9989823148456,1.0810231744194156,0.051346908572293466
zg,5.0,3D state,19,471.45681096348704,30.745359262311354,345.6586074424824,536.7305678581221,1.1384511908126624,0.09810035658949098
zg,6.0,3D state,19,443.34665572141216,43.388117038563564,305.2043226349135,502.1091251793714,1.1325429406078211,0.10601045055426657
zg,7.0,3D state,19,686.4984928233393,64.52054424922551,563.2715002399373,804.7267524394371,1.172219255908144,0.08419784471541543
ta_derived_layer_0,,derived layer T,19,14.775812559228473,0.7562030099690418,13.249637220452732,18.01914053223548,1.2195025119604224,0.07968246974357468
